param YearSplit	:	2014		2015		2016		2017		2018		2019		2020		2021		2022		2023		2024		2025		2026		2027		2028		2029		2030		2031		2032		2033		2034			:=
MarWd5				0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	0.004795	
MarWe1				0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	0.006735	
MarWe2				0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	
MarWe3				0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	0.006849	
MarWe4				0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	0.005708	
MarWe5				0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	0.002283	
AprWd1				0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	
AprWd2				0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	
AprWd3				0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	0.015068	
AprWd4				0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	0.012557	
AprWd5				0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	0.005023	
AprWe1				0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	
AprWe2				0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	
AprWe3				0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	
AprWe4				0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	
AprWe5				0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	0.001826	
MayWd1				0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	
MayWd2				0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	
MayWd3				0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	0.015753	
MayWd4				0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	0.013128	
MayWd5				0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	0.005251	
MayWe1				0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	
MayWe2				0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	0.004566	
MayWe3				0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	0.005479	
