ID,y,t,l,f,e,m,r,ls,ld,lh,s
12,2033,,WD,,,,,,,,,0.3333
12,2034,,WD,,,,,,,,,0.3333
12,2014,,WN,,,,,,,,,0.1667
12,2015,,WN,,,,,,,,,0.1667
12,2016,,WN,,,,,,,,,0.1667
12,2017,,WN,,,,,,,,,0.1667
12,2018,,WN,,,,,,,,,0.1667
12,2019,,WN,,,,,,,,,0.1667
12,2020,,WN,,,,,,,,,0.1667
12,2021,,WN,,,,,,,,,0.1667
12,2022,,WN,,,,,,,,,0.1667
12,2023,,WN,,,,,,,,,0.1667
12,2024,,WN,,,,,,,,,0.1667
12,2025,,WN,,,,,,,,,0.1667
12,2026,,WN,,,,,,,,,0.1667
12,2027,,WN,,,,,,,,,0.1667
12,2028,,WN,,,,,,,,,0.1667
12,2029,,WN,,,,,,,,,0.1667
12,2030,,WN,,,,,,,,,0.1667
12,2031,,WN,,,,,,,,,0.1667
12,2032,,WN,,,,,,,,,0.1667
12,2033,,WN,,,,,,,,,0.1667
12,2034,,WN,,,,,,,,,0.1667
13,,tElCo,,,,,NO,,,,,0.05
13,,tElNu,,,,,NO,,,,,0.05
13,,tElHy,,,,,NO,,,,,0.05
13,,tElPu,,,,,NO,,,,,0.05
13,,tElDi,,,,,NO,,,,,0.05
13,,impDi,,,,,NO,,,,,0.05
13,,impCo,,,,,NO,,,,,0.05
13,,impOil,,,,,NO,,,,,0.05
13,,impUran,,,,,NO,,,,,0.05
13,,riv,,,,,NO,,,,,0.05
14,2014,,,,,,,,,1,,0.00137
14,2015,,,,,,,,,1,,0.00137
14,2016,,,,,,,,,1,,0.00137
14,2017,,,,,,,,,1,,0.00137
14,2018,,,,,,,,,1,,0.00137
14,2019,,,,,,,,,1,,0.00137
14,2020,,,,,,,,,1,,0.00137
14,2021,,,,,,,,,1,,0.00137
14,2022,,,,,,,,,1,,0.00137
14,2023,,,,,,,,,1,,0.00137
14,2024,,,,,,,,,1,,0.00137
14,2025,,,,,,,,,1,,0.00137
14,2026,,,,,,,,,1,,0.00137
14,2027,,,,,,,,,1,,0.00137
14,2028,,,,,,,,,1,,0.00137
14,2029,,,,,,,,,1,,0.00137
14,2030,,,,,,,,,1,,0.00137
14,2031,,,,,,,,,1,,0.00137
14,2032,,,,,,,,,1,,0.00137
14,2033,,,,,,,,,1,,0.00137
14,2034,,,,,,,,,1,,0.00137
14,2014,,,,,,,,,2,,0.00137
14,2015,,,,,,,,,2,,0.00137
14,2016,,,,,,,,,2,,0.00137
14,2017,,,,,,,,,2,,0.00137
14,2018,,,,,,,,,2,,0.00137
14,2019,,,,,,,,,2,,0.00137
14,2020,,,,,,,,,2,,0.00137
14,2021,,,,,,,,,2,,0.00137
14,2022,,,,,,,,,2,,0.00137
14,2023,,,,,,,,,2,,0.00137
14,2024,,,,,,,,,2,,0.00137
14,2025,,,,,,,,,2,,0.00137
14,2026,,,,,,,,,2,,0.00137
14,2027,,,,,,,,,2,,0.00137
14,2028,,,,,,,,,2,,0.00137
14,2029,,,,,,,,,2,,0.00137
14,2030,,,,,,,,,2,,0.00137
14,2031,,,,,,,,,2,,0.00137
14,2032,,,,,,,,,2,,0.00137
14,2033,,,,,,,,,2,,0.00137
14,2034,,,,,,,,,2,,0.00137
15,,,ID,,,,,1,,,,0
15,,,ID,,,,,2,,,,1
15,,,ID,,,,,3,,,,0
15,,,IN,,,,,1,,,,0
15,,,IN,,,,,2,,,,1
15,,,IN,,,,,3,,,,0
15,,,SD,,,,,1,,,,0
15,,,SD,,,,,2,,,,0
15,,,SD,,,,,3,,,,1
15,,,SN,,,,,1,,,,0
15,,,SN,,,,,2,,,,0
15,,,SN,,,,,3,,,,1
15,,,WD,,,,,1,,,,1
15,,,WD,,,,,2,,,,0
15,,,WD,,,,,3,,,,0
15,,,WN,,,,,1,,,,1
15,,,WN,,,,,2,,,,0
15,,,WN,,,,,3,,,,0
16,,,ID,,,,,,1,,,1
16,,,IN,,,,,,1,,,1
16,,,SD,,,,,,1,,,1
16,,,SN,,,,,,1,,,1
16,,,WD,,,,,,1,,,1
16,,,WN,,,,,,1,,,1
17,,,ID,,,,,,,1,,1
17,,,ID,,,,,,,2,,0
17,,,IN,,,,,,,1,,0
17,,,IN,,,,,,,2,,1
17,,,SD,,,,,,,1,,1
17,,,SD,,,,,,,2,,0
17,,,SN,,,,,,,1,,0
17,,,SN,,,,,,,2,,1
17,,,WD,,,,,,,1,,1
17,,,WD,,,,,,,2,,0
17,,,WN,,,,,,,1,,0
17,,,WN,,,,,,,2,,1
18,2014,,,,,,,1,1,,,7
18,2015,,,,,,,1,1,,,7
18,2016,,,,,,,1,1,,,7
18,2017,,,,,,,1,1,,,7
18,2018,,,,,,,1,1,,,7
18,2019,,,,,,,1,1,,,7
18,2020,,,,,,,1,1,,,7
18,2021,,,,,,,1,1,,,7
18,2022,,,,,,,1,1,,,7
18,2023,,,,,,,1,1,,,7
18,2024,,,,,,,1,1,,,7
18,2025,,,,,,,1,1,,,7
18,2026,,,,,,,1,1,,,7
18,2027,,,,,,,1,1,,,7
