Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 08-03-2014,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Troms?,EE,ELE,LT
1/1/2012,00 - 01,"31,81","32,04","32,04","32,04","32,04","32,04","25,21","32,04","32,04","32,04","32,04","32,04","32,04","32,04","32,04",,
1/1/2012,01 - 02,"29,90","30,00","30,00","30,00","30,00","30,00","23,69","30,00","30,00","30,00","30,00","30,00","30,00","30,00","30,00",,
1/1/2012,02 - 03,"29,04","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05",,
1/1/2012,03 - 04,"28,53","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55",,
1/1/2012,04 - 05,"27,73","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74",,
1/1/2012,05 - 06,"27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66",,
1/1/2012,06 - 07,"27,35","27,43","27,43","27,43","27,43","27,43","25,90","25,90","27,43","27,43","27,43","27,43","27,43","27,43","27,43",,
1/1/2012,07 - 08,"26,49","26,55","26,55","26,55","26,55","26,55","25,90","25,90","26,55","26,55","26,55","26,55","26,55","26,55","27,39",,
1/1/2012,08 - 09,"24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","27,77",,
1/1/2012,09 - 10,"24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","30,65",,
1/1/2012,10 - 11,"26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","27,75",,
1/1/2012,11 - 12,"29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05",,
1/1/2012,12 - 13,"29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30",,
1/1/2012,13 - 14,"29,05","29,01","29,01","29,01","29,01","29,01","29,01","29,01","29,06","29,06","29,06","29,01","29,01","29,01","29,01",,
1/1/2012,14 - 15,"29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21",,
1/1/2012,15 - 16,"29,97","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","32,99",,
1/1/2012,16 - 17,"31,06","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","36,64",,
1/1/2012,17 - 18,"33,02","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","34,87",,
1/1/2012,18 - 19,"33,81","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78",,
1/1/2012,19 - 20,"33,06","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04",,
1/1/2012,20 - 21,"30,95","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92",,
1/1/2012,21 - 22,"29,43","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38",,
1/1/2012,22 - 23,"28,48","28,10","28,10","28,10","28,10","28,10","28,10","28,10","29,05","29,05","29,05","28,10","28,10","28,10","28,10",,
1/1/2012,23 - 00,"26,13","24,62","24,62","24,62","24,62","24,62","24,62","24,62","28,75","28,75","28,75","24,62","24,62","24,62","24,62",,
2/1/2012,00 - 01,"29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46",,
2/1/2012,01 - 02,"28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64",,
2/1/2012,02 - 03,"27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72",,
2/1/2012,03 - 04,"27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79",,
2/1/2012,04 - 05,"28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87",,
2/1/2012,05 - 06,"30,15","30,15","30,15","30,15","30,15","30,15","28,51","30,15","30,15","30,15","30,15","30,15","30,15","30,15","30,15",,
2/1/2012,06 - 07,"32,02","31,98","31,98","31,98","31,98","37,95","27,95","31,98","31,98","31,98","31,98","31,98","31,98","31,98","37,95",,
2/1/2012,07 - 08,"34,65","34,27","34,27","34,27","34,27","40,08","38,31","38,31","34,27","34,27","34,27","34,27","34,27","34,27","40,08",,
2/1/2012,08 - 09,"36,35","36,81","36,81","36,81","36,81","38,60","38,44","38,44","35,74","35,74","35,74","36,81","36,81","36,81","38,60",,
2/1/2012,09 - 10,"36,82","37,96","37,96","37,96","37,96","37,96","37,96","40,00","35,83","35,83","35,83","37,96","37,96","37,96","37,96",,
2/1/2012,10 - 11,"37,34","38,95","38,95","38,95","38,95","38,95","38,95","44,20","35,80","35,80","35,80","38,95","38,95","38,95","38,95",,
2/1/2012,11 - 12,"37,25","38,88","38,88","38,88","38,88","38,88","40,48","44,97","35,69","35,69","35,69","38,88","38,88","38,88","38,88",,
2/1/2012,12 - 13,"35,93","36,70","36,70","36,70","36,70","36,70","35,10","39,94","35,54","35,54","35,54","36,70","36,70","36,70","36,70",,
2/1/2012,13 - 14,"35,57","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46",,
2/1/2012,14 - 15,"35,92","36,22","36,22","36,22","36,22","36,43","36,22","36,22","35,59","35,59","35,59","36,22","36,22","36,22","36,43",,
2/1/2012,15 - 16,"36,49","37,51","37,51","37,51","37,51","41,13","37,51","37,51","35,76","35,76","35,76","37,51","37,51","37,51","41,13",,
2/1/2012,16 - 17,"36,79","37,72","37,72","37,72","37,72","40,04","37,72","44,95","35,94","35,94","35,94","37,72","37,72","37,72","40,04",,
2/1/2012,17 - 18,"36,91","37,98","37,98","37,98","37,98","37,98","37,98","64,00","35,81","35,81","35,81","37,98","37,98","37,98","37,98",,
2/1/2012,18 - 19,"35,66","35,77","35,77","35,77","35,77","35,77","35,77","35,77","35,52","35,52","35,52","35,77","35,77","35,77","35,77",,
2/1/2012,19 - 20,"34,95","34,94","34,94","34,94","34,94","34,94","34,94","34,94","34,94","34,94","34,94","34,94","34,94","34,94","34,94",,
2/1/2012,20 - 21,"34,06","34,06","34,06","34,06","34,06","34,06","34,06","34,06","34,06","34,06","34,06","34,06","34,06","34,06","34,06",,
2/1/2012,21 - 22,"33,34","33,33","33,33","33,33","33,33","33,33","33,33","33,33","33,33","33,33","33,33","33,33","33,33","33,33","33,33",,
2/1/2012,22 - 23,"32,07","32,06","32,06","32,06","32,06","32,06","32,06","32,06","32,06","32,06","32,06","32,06","32,06","32,06","32,06",,
2/1/2012,23 - 00,"29,49","29,49","29,49","29,49","29,49","29,49","29,49","29,49","29,49","29,49","29,49","29,49","29,49","29,49","29,49",,
3/1/2012,00 - 01,"29,00","29,00","29,00","29,00","29,00","29,00","29,00","29,00","29,00","29,00","29,00","29,00","29,00","29,00","29,00",,
3/1/2012,01 - 02,"25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54",,
3/1/2012,02 - 03,"22,95","22,96","22,96","22,96","22,96","22,96","21,80","21,80","22,96","22,96","22,96","22,96","22,96","22,96","22,96",,
3/1/2012,03 - 04,"22,93","22,93","22,93","22,93","22,93","22,93","19,80","19,80","22,93","22,93","22,93","22,93","22,93","22,93","22,93",,
3/1/2012,04 - 05,"24,50","24,53","24,53","24,53","24,53","24,53","19,10","19,10","24,53","24,53","24,53","24,53","24,53","24,53","24,53",,
3/1/2012,05 - 06,"28,92","29,01","29,01","29,01","29,01","29,01","24,29","29,01","29,01","29,01","29,01","29,01","29,01","29,01","29,01",,
3/1/2012,06 - 07,"32,25","32,22","32,22","32,22","32,22","32,22","33,19","32,22","32,22","32,22","32,22","32,22","32,22","32,22","32,22",,
3/1/2012,07 - 08,"33,37","33,29","33,29","33,29","33,29","33,29","37,04","37,04","33,29","33,29","33,29","33,29","33,29","33,29","33,29",,
3/1/2012,08 - 09,"33,70","33,70","33,70","33,70","33,70","33,70","33,70","33,70","33,70","33,70","33,70","33,70","33,70","33,70","33,70",,
3/1/2012,09 - 10,"33,47","33,47","33,47","33,47","33,47","33,47","33,47","33,47","33,47","33,47","33,47","33,47","33,47","33,47","33,47",,
3/1/2012,10 - 11,"33,46","33,46","33,46","33,46","33,46","33,46","33,46","33,46","33,46","33,46","33,46","33,46","33,46","33,46","33,46",,
3/1/2012,11 - 12,"33,38","33,39","33,39","33,39","33,39","33,39","33,39","33,39","33,39","33,39","33,39","33,39","33,39","33,39","33,39",,
3/1/2012,12 - 13,"33,41","33,41","33,41","33,41","33,41","33,41","33,41","33,41","33,41","33,41","33,41","33,41","33,41","33,41","33,41",,
3/1/2012,13 - 14,"33,45","33,45","33,45","33,45","33,45","33,45","33,45","33,45","33,45","33,45","33,45","33,45","33,45","33,45","33,45",,
3/1/2012,14 - 15,"33,44","33,44","33,44","33,44","33,44","33,44","33,44","33,44","33,44","33,44","33,44","33,44","33,44","33,44","33,44",,
3/1/2012,15 - 16,"33,73","33,73","33,73","33,73","33,73","33,73","33,73","33,73","33,73","33,73","33,73","33,73","33,73","33,73","33,73",,
3/1/2012,16 - 17,"33,96","33,96","33,96","33,96","33,96","33,96","33,96","33,96","33,96","33,96","33,96","33,96","33,96","33,96","33,96",,
3/1/2012,17 - 18,"33,80","33,80","33,80","33,80","33,80","33,80","33,80","33,80","33,80","33,80","33,80","33,80","33,80","33,80","33,80",,
3/1/2012,18 - 19,"33,60","33,60","33,60","33,60","33,60","33,60","33,60","33,60","33,60","33,60","33,60","33,60","33,60","33,60","33,60",,
3/1/2012,19 - 20,"33,06","33,06","33,06","33,06","33,06","33,06","33,06","33,06","33,06","33,06","33,06","33,06","33,06","33,06","33,06",,
3/1/2012,20 - 21,"32,27","32,15","32,15","32,15","32,15","32,15","33,77","32,15","32,15","32,15","32,15","32,15","32,15","32,15","32,15",,
3/1/2012,21 - 22,"30,52","30,53","30,53","30,53","30,53","30,53","28,90","30,53","30,53","30,53","30,53","30,53","30,53","30,53","30,53",,
3/1/2012,22 - 23,"28,84","28,86","28,86","28,86","28,86","28,86","28,86","28,86","28,86","28,86","28,86","28,86","28,86","28,86","28,86",,
3/1/2012,23 - 00,"25,93","24,39","24,39","24,39","24,39","24,39","16,00","16,00","27,44","27,44","27,44","24,39","24,39","24,39","24,39",,
4/1/2012,00 - 01,"25,06","22,87","22,87","22,87","22,87","22,87","5,10","5,10","26,18","26,18","26,18","22,87","22,87","22,87","22,87",,
4/1/2012,01 - 02,"22,43","22,72","22,72","22,72","22,72","22,72","0,07","0,07","22,72","22,72","22,72","22,72","22,72","22,72","22,72",,
4/1/2012,02 - 03,"22,16","22,22","22,22","22,22","22,22","22,22","0,04","0,04","22,22","22,22","22,22","22,22","22,22","22,22","22,22",,
4/1/2012,03 - 04,"22,50","22,44","22,44","22,44","22,44","22,44","0,09","0,09","22,44","22,44","22,44","22,44","22,44","22,44","22,44",,
4/1/2012,04 - 05,"24,43","24,10","24,10","24,10","24,10","24,10","10,00","10,00","24,10","24,10","24,10","24,10","24,10","24,10","24,10",,
4/1/2012,05 - 06,"25,77","25,66","25,66","25,66","25,66","25,66","11,00","11,00","25,66","25,66","25,66","25,66","25,66","25,66","25,66",,
4/1/2012,06 - 07,"28,53","28,80","28,80","28,80","28,80","28,80","20,73","28,80","28,80","28,80","28,80","28,80","28,80","28,80","28,80",,
4/1/2012,07 - 08,"31,95","31,61","31,61","31,61","31,61","36,91","39,68","31,61","31,61","31,61","31,61","31,61","31,61","31,61","36,91",,
4/1/2012,08 - 09,"32,87","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95",,
4/1/2012,09 - 10,"32,80","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88","32,88",,
4/1/2012,10 - 11,"33,14","33,18","33,18","33,18","33,18","33,18","33,18","33,18","33,18","33,18","33,18","33,18","33,18","33,18","33,18",,
4/1/2012,11 - 12,"33,21","33,26","33,26","33,26","33,26","33,26","33,26","33,26","33,26","33,26","33,26","33,26","33,26","33,26","33,26",,
4/1/2012,12 - 13,"33,06","33,05","33,05","33,05","33,05","33,05","33,05","33,05","33,05","33,05","33,05","33,05","33,05","33,05","33,05",,
4/1/2012,13 - 14,"33,08","33,07","33,07","33,07","33,07","33,07","33,07","33,07","33,07","33,07","33,07","33,07","33,07","33,07","33,07",,
4/1/2012,14 - 15,"33,35","33,34","33,34","33,34","33,34","33,34","33,34","33,34","33,34","33,34","33,34","33,34","33,34","33,34","33,34",,
4/1/2012,15 - 16,"33,62","33,51","33,51","33,51","33,51","36,90","33,51","33,51","33,51","33,51","33,51","33,51","33,51","33,51","36,90",,
4/1/2012,16 - 17,"33,92","33,86","33,86","33,86","33,86","35,38","33,86","33,86","33,86","33,86","33,86","33,86","33,86","33,86","35,38",,
4/1/2012,17 - 18,"33,98","33,96","33,96","33,96","33,96","34,30","33,96","33,96","33,96","33,96","33,96","33,96","33,96","33,96","34,30",,
4/1/2012,18 - 19,"33,77","33,70","33,70","33,70","33,70","35,30","33,70","33,70","33,70","33,70","33,70","33,70","33,70","33,70","35,30",,
4/1/2012,19 - 20,"33,30","33,24","33,24","33,24","33,24","35,01","33,24","33,24","33,24","33,24","33,24","33,24","33,24","33,24","35,01",,
4/1/2012,20 - 21,"32,55","32,52","32,52","32,52","32,52","32,52","32,52","32,52","32,52","32,52","32,52","32,52","32,52","32,52","32,52",,
4/1/2012,21 - 22,"31,54","31,50","31,50","31,50","31,50","31,96","31,50","31,50","31,50","31,50","31,50","31,50","31,50","31,50","31,96",,
4/1/2012,22 - 23,"30,57","30,57","30,57","30,57","30,57","30,57","30,57","30,57","30,57","30,57","30,57","30,57","30,57","30,57","30,57",,
4/1/2012,23 - 00,"27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12","27,12",,
5/1/2012,00 - 01,"27,91","28,09","28,09","28,09","28,09","28,09","7,00","7,00","28,09","28,09","28,09","28,09","28,09","28,09","28,09",,
5/1/2012,01 - 02,"26,63","27,21","27,21","27,21","27,21","27,21","-0,07","-0,07","27,21","27,21","27,21","27,21","27,21","27,21","27,21",,
5/1/2012,02 - 03,"26,13","27,14","27,14","27,14","27,14","27,14","-42,30","-42,30","27,14","27,14","27,14","27,14","27,14","27,14","27,14",,
5/1/2012,03 - 04,"26,08","27,42","27,42","27,42","27,42","27,42","-47,00","-47,00","27,42","27,42","27,42","27,42","27,42","27,42","27,42",,
5/1/2012,04 - 05,"27,28","28,27","28,27","28,27","28,27","28,27","-46,95","-46,95","28,27","28,27","28,27","28,27","28,27","28,27","28,27",,
5/1/2012,05 - 06,"28,73","28,60","28,60","28,60","28,60","38,50","-2,70","17,30","28,60","28,60","28,60","28,60","28,60","28,60","38,50",,
5/1/2012,06 - 07,"30,61","30,18","30,18","30,18","30,18","45,57","16,90","30,18","30,18","30,18","30,18","30,18","30,18","30,18","45,57",,
5/1/2012,07 - 08,"33,66","33,28","33,28","33,28","33,28","40,08","35,68","33,28","33,28","33,28","33,28","33,28","33,28","33,28","40,08",,
5/1/2012,08 - 09,"35,11","35,05","35,05","35,05","35,05","35,19","35,05","35,05","35,05","35,05","35,05","35,05","35,05","35,05","35,19",,
5/1/2012,09 - 10,"35,16","35,20","35,20","35,20","35,20","35,20","35,20","35,20","35,20","35,00","35,00","35,20","35,20","35,20","35,20",,
5/1/2012,10 - 11,"35,42","35,69","35,69","35,69","35,69","35,69","35,69","35,69","35,69","34,90","34,90","35,69","35,69","35,69","35,69",,
5/1/2012,11 - 12,"35,27","35,63","35,63","35,63","35,63","35,63","35,63","35,63","35,63","34,81","34,81","35,63","35,63","35,63","35,63",,
5/1/2012,12 - 13,"34,99","35,08","35,08","35,08","35,08","35,08","35,08","35,08","35,08","34,84","34,84","35,08","35,08","35,08","35,08",,
5/1/2012,13 - 14,"34,83","34,80","34,80","34,80","34,80","34,80","34,80","34,80","34,80","34,80","34,80","34,80","34,80","34,80","34,80",,
5/1/2012,14 - 15,"35,10","35,28","35,28","35,28","35,28","35,28","35,28","35,28","35,28","34,85","34,85","35,28","35,28","35,28","35,28",,
5/1/2012,15 - 16,"35,61","36,17","36,17","36,17","36,17","39,83","36,17","36,17","34,89","34,89","34,89","36,17","36,17","36,17","39,83",,
5/1/2012,16 - 17,"36,30","37,52","37,52","37,52","37,52","40,07","37,52","37,52","35,14","35,02","35,02","37,52","37,52","37,52","40,07",,
5/1/2012,17 - 18,"36,50","38,30","38,30","38,30","38,30","40,02","38,30","38,30","35,14","34,99","34,99","38,30","38,30","38,30","40,02",,
5/1/2012,18 - 19,"35,18","34,97","34,97","34,97","34,97","37,48","34,97","34,97","34,97","34,97","34,97","34,97","34,97","34,97","37,48",,
5/1/2012,19 - 20,"34,00","33,86","33,86","33,86","33,86","35,92","33,86","33,86","33,86","33,86","33,86","33,86","33,86","33,86","35,92",,
5/1/2012,20 - 21,"33,08","33,09","33,09","33,09","33,09","33,09","33,09","33,09","33,09","33,09","33,09","33,09","33,09","33,09","33,09",,
5/1/2012,21 - 22,"31,37","31,26","31,26","31,26","31,26","32,45","31,26","31,26","31,26","31,26","31,26","31,26","31,26","31,26","32,45",,
5/1/2012,22 - 23,"29,56","29,56","29,56","29,56","29,56","29,56","29,56","29,56","29,56","29,56","29,56","29,56","29,56","29,56","29,56",,
5/1/2012,23 - 00,"28,58","28,62","28,62","28,62","28,62","28,62","19,02","28,62","28,62","28,62","28,62","28,62","28,62","28,62","28,62",,
6/1/2012,00 - 01,"28,79","28,79","28,79","28,79","28,79","28,79","28,79","28,79","28,79","28,79","28,79","28,79","28,79","28,79","28,79",,
6/1/2012,01 - 02,"27,82","27,84","27,84","27,84","27,84","27,84","20,94","20,94","27,84","27,84","27,84","27,84","27,84","27,84","27,84",,
6/1/2012,02 - 03,"26,64","26,97","26,97","26,97","26,97","26,97","16,05","16,05","26,97","26,97","26,97","26,97","26,97","26,97","26,97",,
6/1/2012,03 - 04,"26,38","26,66","26,66","26,66","26,66","26,66","16,37","16,37","26,66","26,66","26,66","26,66","26,66","26,66","26,66",,
6/1/2012,04 - 05,"26,77","26,86","26,86","26,86","26,86","26,86","20,66","20,66","26,86","26,86","26,86","26,86","26,86","26,86","26,86",,
6/1/2012,05 - 06,"27,82","27,83","27,83","27,83","27,83","27,83","21,58","21,58","27,83","27,83","27,83","27,83","27,83","27,83","27,83",,
6/1/2012,06 - 07,"28,79","28,79","28,79","28,79","28,79","28,79","23,34","28,79","28,79","28,79","28,79","28,79","28,79","28,79","28,79",,
6/1/2012,07 - 08,"31,28","31,05","31,05","31,05","31,05","31,05","36,50","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05",,
6/1/2012,08 - 09,"32,94","32,72","32,72","32,72","32,72","32,72","38,97","38,97","32,72","32,72","32,72","32,72","32,72","32,72","32,72",,
6/1/2012,09 - 10,"34,13","33,80","33,80","33,80","33,80","33,80","38,70","38,70","33,80","33,80","33,80","33,80","33,80","33,80","33,80",,
6/1/2012,10 - 11,"34,68","34,40","34,40","34,40","34,40","34,40","39,10","39,10","34,40","34,40","34,40","34,40","34,40","34,40","34,40",,
6/1/2012,11 - 12,"34,89","34,53","34,53","34,53","34,53","34,53","44,66","44,66","34,53","34,53","34,53","34,53","34,53","34,53","34,53",,
6/1/2012,12 - 13,"34,92","34,66","34,66","34,66","34,66","34,66","40,43","40,43","34,66","34,66","34,66","34,66","34,66","34,66","34,66",,
6/1/2012,13 - 14,"35,03","34,77","34,77","34,77","34,77","34,77","36,97","36,97","34,77","34,77","34,77","34,77","34,77","34,77","34,77",,
6/1/2012,14 - 15,"35,00","34,91","34,91","34,91","34,91","34,91","34,91","34,91","34,91","34,91","34,91","34,91","34,91","34,91","34,91",,
6/1/2012,15 - 16,"35,18","35,47","35,47","35,47","35,47","35,47","35,47","35,47","35,47","34,52","34,52","35,47","35,47","35,47","35,47",,
6/1/2012,16 - 17,"36,64","37,30","37,30","37,30","44,10","37,30","44,10","44,10","37,30","34,61","34,61","37,30","37,30","37,30","37,30",,
6/1/2012,17 - 18,"38,13","37,20","37,20","37,20","52,46","37,20","52,46","52,46","37,20","34,76","34,76","37,20","37,20","37,20","37,20",,
6/1/2012,18 - 19,"37,07","36,81","36,81","36,81","49,01","36,81","49,01","49,01","36,81","34,65","34,65","36,81","36,81","36,81","36,81",,
6/1/2012,19 - 20,"35,32","35,50","35,50","35,50","44,66","35,50","44,66","44,66","35,50","34,64","34,64","35,50","35,50","35,50","35,50",,
6/1/2012,20 - 21,"34,42","34,36","34,36","34,36","34,36","34,36","34,36","34,36","34,36","34,36","34,36","34,36","34,36","34,36","34,36",,
6/1/2012,21 - 22,"33,52","33,51","33,51","33,51","33,51","33,51","33,51","33,51","33,51","33,51","33,51","33,51","33,51","33,51","33,51",,
6/1/2012,22 - 23,"32,44","32,44","32,44","32,44","32,44","32,44","32,44","32,44","32,44","32,44","32,44","32,44","32,44","32,44","32,44",,
6/1/2012,23 - 00,"31,33","31,33","31,33","31,33","31,33","31,33","31,33","31,33","31,33","31,33","31,33","31,33","31,33","31,33","31,33",,
7/1/2012,00 - 01,"32,92","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95",,
7/1/2012,01 - 02,"30,52","30,64","30,64","30,64","30,64","30,64","30,64","30,64","30,64","30,33","30,64","30,64","30,64","30,64","30,64",,
7/1/2012,02 - 03,"28,67","28,70","28,70","28,70","28,70","28,70","28,20","28,20","28,70","28,70","28,70","28,70","28,70","28,70","28,70",,
7/1/2012,03 - 04,"27,88","28,15","28,15","28,15","28,15","28,15","20,00","20,00","28,15","28,09","28,15","28,15","28,15","28,15","28,15",,
7/1/2012,04 - 05,"28,10","28,82","28,82","28,82","28,82","28,82","17,90","17,90","28,82","28,14","28,82","28,82","28,82","28,82","28,82",,
7/1/2012,05 - 06,"28,29","29,32","29,32","29,32","29,32","29,32","15,09","15,09","29,32","28,17","29,32","29,32","29,32","29,32","29,32",,
7/1/2012,06 - 07,"28,36","28,53","28,53","28,53","28,53","28,53","27,62","27,62","28,53","28,37","28,53","28,53","28,53","28,53","29,04",,
7/1/2012,07 - 08,"29,35","29,60","29,60","29,60","29,60","29,60","26,74","29,60","29,60","29,45","29,60","29,60","29,60","29,60","30,06",,
7/1/2012,08 - 09,"32,27","32,27","32,27","32,27","32,27","32,27","34,98","32,27","32,27","32,27","32,27","32,27","32,27","32,27","32,27",,
7/1/2012,09 - 10,"33,45","33,37","33,37","33,37","33,37","33,37","33,37","33,37","33,37","33,37","33,37","33,37","33,37","33,37","33,37",,
7/1/2012,10 - 11,"33,84","34,00","34,00","34,00","34,00","34,00","33,57","34,00","34,00","33,57","33,57","34,00","34,00","34,00","34,00",,
7/1/2012,11 - 12,"33,73","33,89","33,89","33,89","33,89","33,89","33,45","33,89","33,89","33,45","33,45","33,89","33,89","33,89","33,89",,
7/1/2012,12 - 13,"33,31","33,24","33,24","33,24","33,24","33,24","33,24","33,24","33,24","33,24","33,24","33,24","33,24","33,24","33,24",,
7/1/2012,13 - 14,"32,96","33,05","33,05","33,05","33,05","33,05","32,66","33,05","33,05","32,66","32,66","33,05","33,05","33,05","33,05",,
7/1/2012,14 - 15,"33,41","33,76","33,76","33,76","33,76","33,76","33,03","33,76","33,76","33,03","33,03","33,76","33,76","33,76","33,78",,
7/1/2012,15 - 16,"34,16","34,91","34,91","34,91","34,91","34,91","33,25","34,91","34,91","33,25","33,25","34,91","34,91","34,91","40,13",,
7/1/2012,16 - 17,"35,06","36,12","36,12","36,12","36,12","36,12","34,14","36,12","36,12","34,14","34,14","36,12","36,12","36,12","42,01",,
7/1/2012,17 - 18,"36,77","39,60","39,60","39,60","39,60","39,60","36,81","39,60","39,60","34,30","34,30","39,60","39,60","39,60","39,60",,
7/1/2012,18 - 19,"35,95","38,16","38,16","38,16","38,16","38,16","35,69","38,16","38,16","34,24","34,24","38,16","38,16","38,16","38,16",,
7/1/2012,19 - 20,"34,74","35,38","35,38","35,38","35,38","35,38","34,34","35,38","35,38","34,07","34,07","35,38","35,38","35,38","35,38",,
7/1/2012,20 - 21,"33,78","34,00","34,00","34,00","34,00","34,00","34,00","34,00","34,00","33,55","33,55","34,00","34,00","34,00","34,00",,
7/1/2012,21 - 22,"32,10","32,10","32,10","32,10","32,10","32,10","31,65","32,10","32,10","32,10","32,10","32,10","32,10","32,10","32,10",,
7/1/2012,22 - 23,"31,52","31,50","31,50","31,50","31,50","31,50","31,50","31,50","31,50","31,50","31,50","31,50","31,50","31,50","31,50",,
7/1/2012,23 - 00,"29,27","29,25","29,25","29,25","29,25","29,25","29,25","29,25","29,25","29,25","29,25","29,25","29,25","29,25","29,25",,
8/1/2012,00 - 01,"29,79","31,03","31,03","31,03","31,03","31,03","27,12","27,12","31,03","28,51","28,51","31,03","31,03","31,03","31,03",,
8/1/2012,01 - 02,"28,71","30,50","30,50","30,50","30,50","30,50","-0,01","-0,01","30,50","28,10","28,10","30,50","30,50","30,50","30,50",,
8/1/2012,02 - 03,"28,31","30,18","30,18","30,18","30,18","30,18","0,10","0,10","30,18","27,58","28,04","30,18","30,18","30,18","30,18",,
8/1/2012,03 - 04,"28,20","30,03","30,03","30,03","30,03","30,03","5,00","5,00","30,03","27,86","28,02","30,03","30,03","30,03","30,03",,
8/1/2012,04 - 05,"28,28","30,09","30,09","30,09","30,09","30,09","10,00","10,00","30,09","27,78","28,02","30,09","30,09","30,09","30,09",,
8/1/2012,05 - 06,"28,29","29,74","29,74","29,74","29,74","29,74","26,13","26,13","29,74","27,66","28,06","29,74","29,74","29,74","29,74",,
8/1/2012,06 - 07,"28,32","28,43","28,43","28,43","28,43","28,43","28,31","28,31","28,43","28,31","28,31","28,43","28,43","28,43","28,43",,
8/1/2012,07 - 08,"28,70","28,71","28,71","28,71","28,71","28,71","28,71","28,71","28,71","28,71","28,71","28,71","28,71","28,71","28,71",,
8/1/2012,08 - 09,"29,59","29,59","29,59","29,59","29,59","29,59","29,59","29,59","29,59","29,59","29,59","29,59","29,59","29,59","29,59",,
8/1/2012,09 - 10,"30,39","30,43","30,43","30,43","30,43","30,43","26,64","30,43","30,43","30,43","30,43","30,43","30,43","30,43","30,43",,
8/1/2012,10 - 11,"32,97","32,95","32,95","32,95","32,95","32,95","33,75","32,95","32,95","32,95","32,95","32,95","32,95","32,95","32,95",,
8/1/2012,11 - 12,"34,44","35,01","35,01","35,01","35,01","35,01","38,01","38,01","35,01","33,76","33,76","35,01","35,01","35,01","35,01",,
8/1/2012,12 - 13,"34,57","35,10","35,10","35,10","35,10","35,10","35,10","35,10","35,10","33,88","33,88","35,10","35,10","35,10","35,10",,
8/1/2012,13 - 14,"34,48","35,00","35,00","35,00","35,00","35,00","35,00","35,00","35,00","33,92","33,92","35,00","35,00","35,00","35,00",,
