Time,Oslo,Krs,Bergen,Molde,Trh,Tromso
2013-01-01 00:00:00,32.98,32.98,32.98,31.04,31.04,31.04
2013-01-01 01:00:00,32.97,32.97,32.97,30.81,30.81,30.81
2013-01-01 02:00:00,32.59,32.59,32.59,30.77,30.77,30.77
2013-01-01 03:00:00,31.53,31.53,31.53,30.71,30.71,30.71
2013-01-01 04:00:00,30.54,30.54,30.54,30.63,30.63,30.63
2013-01-01 05:00:00,29.93,29.93,29.93,30.58,30.58,30.58
2013-01-01 06:00:00,30.23,30.23,30.23,30.64,30.64,30.64
2013-01-01 07:00:00,29.74,29.74,29.74,30.73,30.73,30.73
2013-01-01 08:00:00,30.30,30.30,30.30,30.63,30.63,30.63
2013-01-01 09:00:00,30.00,30.00,30.00,30.62,30.62,30.62
2013-01-01 10:00:00,32.12,32.12,32.12,30.90,30.90,30.90
2013-01-01 11:00:00,32.31,32.31,32.31,31.74,31.74,31.74
2013-01-01 12:00:00,32.86,32.86,32.86,33.24,33.24,33.24
2013-01-01 13:00:00,32.94,32.94,32.94,33.33,33.33,33.33
2013-01-01 14:00:00,32.74,32.74,32.74,33.71,33.71,33.71
2013-01-01 15:00:00,33.64,33.64,33.64,34.00,34.00,34.00
2013-01-01 16:00:00,34.96,34.96,34.96,34.96,34.96,34.96
2013-01-01 17:00:00,36.24,36.24,36.24,36.24,36.24,36.24
2013-01-01 18:00:00,36.59,36.59,36.59,36.59,36.59,36.59
2013-01-01 19:00:00,36.34,36.34,36.34,36.34,36.34,36.34
2013-01-01 20:00:00,35.47,35.47,35.47,35.47,35.47,35.47
2013-01-01 21:00:00,34.41,34.41,34.41,34.41,34.41,34.41
2013-01-01 22:00:00,34.65,34.65,34.65,34.65,34.65,34.65
2013-01-01 23:00:00,33.00,33.00,33.00,32.45,32.45,32.45
2013-01-02 00:00:00,34.06,34.06,34.06,32.84,32.84,32.84
2013-01-02 01:00:00,33.67,33.67,33.67,32.35,32.35,32.35
2013-01-02 02:00:00,32.58,32.58,32.58,31.83,31.83,31.83
2013-01-02 03:00:00,32.17,32.17,32.17,32.17,32.17,32.17
2013-01-02 04:00:00,32.97,32.97,32.97,32.97,32.97,32.97
2013-01-02 05:00:00,35.02,33.62,35.02,35.02,35.02,35.02
2013-01-02 06:00:00,36.36,36.36,36.36,36.36,36.36,36.36
2013-01-02 07:00:00,38.85,37.22,38.85,38.85,38.85,38.85
2013-01-02 08:00:00,39.42,37.79,39.42,39.42,39.42,39.42
2013-01-02 09:00:00,38.54,37.89,38.54,38.54,38.54,38.54
2013-01-02 10:00:00,38.68,37.87,38.68,38.68,38.68,38.68
2013-01-02 11:00:00,38.49,37.84,38.49,38.49,38.49,38.49
2013-01-02 12:00:00,38.07,37.83,38.07,38.07,38.07,38.07
2013-01-02 13:00:00,37.95,37.82,37.95,37.95,37.95,37.95
2013-01-02 14:00:00,37.91,37.82,37.91,37.91,37.91,37.91
2013-01-02 15:00:00,38.85,37.86,38.85,38.85,38.85,38.85
2013-01-02 16:00:00,39.92,37.93,39.92,39.92,39.92,39.92
2013-01-02 17:00:00,40.52,37.91,40.52,40.52,40.52,40.52
2013-01-02 18:00:00,39.62,37.86,39.62,39.62,39.62,39.62
2013-01-02 19:00:00,38.75,37.80,38.75,38.75,38.75,38.75
2013-01-02 20:00:00,37.46,37.46,37.46,37.46,37.46,37.46
2013-01-02 21:00:00,36.94,36.94,36.94,36.94,36.94,36.94
2013-01-02 22:00:00,36.37,36.37,36.37,36.37,36.37,36.37
2013-01-02 23:00:00,34.61,34.61,34.61,34.61,34.61,34.61
2013-01-03 00:00:00,34.10,34.10,34.10,32.90,32.90,32.90
2013-01-03 01:00:00,33.83,33.83,33.83,31.33,31.33,31.33
2013-01-03 02:00:00,33.22,33.22,33.22,30.87,30.87,30.87
2013-01-03 03:00:00,33.39,33.39,33.39,30.91,30.91,30.91
2013-01-03 04:00:00,32.73,32.73,32.73,32.58,32.58,32.58
2013-01-03 05:00:00,34.27,34.27,34.27,34.27,34.27,34.27
2013-01-03 06:00:00,35.24,34.38,35.24,35.24,35.24,35.24
2013-01-03 07:00:00,35.83,35.83,35.83,35.83,35.83,35.83
2013-01-03 08:00:00,36.39,36.39,36.39,36.39,36.39,36.39
2013-01-03 09:00:00,36.52,36.52,36.52,36.52,36.52,36.52
2013-01-03 10:00:00,36.71,36.71,36.71,36.71,36.71,36.71
2013-01-03 11:00:00,36.60,36.60,36.60,36.60,36.60,36.60
2013-01-03 12:00:00,36.51,36.51,36.51,36.51,36.51,36.51
2013-01-03 13:00:00,36.40,36.40,36.40,36.40,36.40,36.40
2013-01-03 14:00:00,36.41,36.41,36.41,36.41,36.41,36.41
2013-01-03 15:00:00,36.67,36.49,36.67,36.67,36.67,36.67
2013-01-03 16:00:00,37.22,36.62,37.22,37.22,37.22,37.22
2013-01-03 17:00:00,37.11,36.74,37.11,37.11,37.11,37.11
2013-01-03 18:00:00,36.87,36.75,36.87,36.87,36.87,36.87
2013-01-03 19:00:00,36.41,36.41,36.41,36.41,36.41,36.41
2013-01-03 20:00:00,35.89,35.89,35.89,35.89,35.89,35.89
2013-01-03 21:00:00,35.43,35.43,35.43,35.43,35.43,35.43
2013-01-03 22:00:00,34.75,34.75,34.75,34.75,34.75,34.75
2013-01-03 23:00:00,33.73,33.73,33.73,30.18,30.18,30.18
2013-01-04 00:00:00,33.85,33.85,33.85,30.19,30.19,30.19
2013-01-04 01:00:00,33.45,33.45,33.45,28.68,28.68,28.68
2013-01-04 02:00:00,33.08,33.08,33.08,28.61,28.61,28.61
2013-01-04 03:00:00,33.04,33.04,33.04,28.62,28.62,28.62
2013-01-04 04:00:00,33.09,33.09,33.09,28.89,28.89,28.89
2013-01-04 05:00:00,33.14,33.14,33.14,32.52,32.52,32.52
2013-01-04 06:00:00,34.53,34.53,34.53,34.53,34.53,34.53
2013-01-04 07:00:00,36.04,36.04,36.04,36.04,36.04,36.04
2013-01-04 08:00:00,36.95,36.95,36.95,36.95,36.95,36.95
2013-01-04 09:00:00,36.68,36.68,36.68,36.68,36.68,36.68
2013-01-04 10:00:00,36.80,36.80,36.80,36.80,36.80,36.80
2013-01-04 11:00:00,36.64,36.64,36.64,36.64,36.64,36.64
2013-01-04 12:00:00,36.46,36.46,36.46,36.46,36.46,36.46
2013-01-04 13:00:00,36.32,36.32,36.32,36.32,36.32,36.32
2013-01-04 14:00:00,35.84,35.84,35.84,35.84,35.84,35.84
2013-01-04 15:00:00,36.08,36.08,36.08,36.08,36.08,36.08
2013-01-04 16:00:00,36.79,36.79,36.79,36.79,36.79,36.79
2013-01-04 17:00:00,37.43,37.10,37.43,37.43,37.43,37.43
2013-01-04 18:00:00,37.15,37.15,37.15,37.15,37.15,37.15
2013-01-04 19:00:00,36.47,36.47,36.47,36.47,36.47,36.47
2013-01-04 20:00:00,36.03,36.03,36.03,36.03,36.03,36.03
2013-01-04 21:00:00,35.43,35.43,35.43,35.43,35.43,35.43
2013-01-04 22:00:00,35.16,35.16,35.16,35.16,35.16,35.16
2013-01-04 23:00:00,33.11,33.11,33.11,32.88,32.88,32.88
2013-01-05 00:00:00,33.91,33.91,33.91,33.91,33.91,33.91
2013-01-05 01:00:00,32.88,32.88,32.88,32.88,32.88,32.88
2013-01-05 02:00:00,32.47,32.47,32.47,32.23,32.23,32.23
2013-01-05 03:00:00,32.41,32.41,32.41,32.32,32.32,32.32
2013-01-05 04:00:00,32.77,32.77,32.77,32.77,32.77,32.77
2013-01-05 05:00:00,33.75,33.75,33.75,33.75,33.75,33.75
2013-01-05 06:00:00,34.02,34.02,34.02,34.02,34.02,34.02
2013-01-05 07:00:00,34.01,34.01,34.01,34.01,34.01,34.01
2013-01-05 08:00:00,34.47,34.47,34.47,34.47,34.47,34.47
2013-01-05 09:00:00,36.04,36.04,36.04,36.04,36.04,36.04
2013-01-05 10:00:00,36.71,36.71,36.71,36.71,36.71,36.71
